entry_num,datetime,filename,H,co2_flux,air_temperature,air_pressure,wind_speed,wind_dir,friction_velocity,L,v_var
17618,7/12/2020 0:30,2020-07-12T000000_YKD-WHRC-Natali.ghg,-7.215383,0.9685478,285.1085,101167.9,1.73281216,356.4722,0.06984915,4.156949,0.127743811
17619,7/12/2020 1:00,2020-07-12T003000_YKD-WHRC-Natali.ghg,-7.536694,4.604397,284.3454,101125.96,1.5509055,331.8274,0.04742302,1.245011,0.065510759
17620,7/12/2020 1:30,2020-07-12T010000_YKD-WHRC-Natali.ghg,-5.998107,1.923357,283.8189,101111.17,1.10461238,323.8004,0.04021309,0.9536573,0.041204118
17621,7/12/2020 2:00,2020-07-12T013000_YKD-WHRC-Natali.ghg,-7.931028,7.246694,283.597,101111.17,1.29128647,306.0781,0.05441132,1.786618,0.085319005
17622,7/12/2020 2:30,2020-07-12T020000_YKD-WHRC-Natali.ghg,-14.37084,3.818314,283.3869,101087.74,1.66057509,329.6609,0.08033846,3.173176,0.043014874
17623,7/12/2020 3:00,2020-07-12T023000_YKD-WHRC-Natali.ghg,-10.19131,1.229131,282.8498,101087.74,1.20244181,309.8078,0.08179371,4.721624,0.149879891
17624,7/12/2020 3:30,2020-07-12T030000_YKD-WHRC-Natali.ghg,-18.1299,3.186752,282.4405,101118.56,1.47741114,318.7465,0.09807632,4.576417,0.050911406
17625,7/12/2020 4:00,2020-07-12T033000_YKD-WHRC-Natali.ghg,-14.6118,1.997754,282.7517,101155.57,1.72728643,322.4844,0.1122112,8.50693,0.063046904
17626,7/12/2020 4:30,2020-07-12T040000_YKD-WHRC-Natali.ghg,-24.6371,0.9464851,283.1191,101155.57,2.0845092,319.6379,0.168608,17.11759,0.090684071
17627,7/12/2020 5:00,2020-07-12T043000_YKD-WHRC-Natali.ghg,-24.84641,2.027786,282.7264,101116.1,2.01403276,314.791,0.1739887,18.64431,0.079147057
17628,7/12/2020 5:30,2020-07-12T050000_YKD-WHRC-Natali.ghg,-25.62402,1.453842,283.072,101116.1,2.69360937,317.8575,0.2385232,46.58201,0.165947635
17629,7/12/2020 6:00,2020-07-12T053000_YKD-WHRC-Natali.ghg,-15.4023,0.4613712,283.7578,101074.18,2.72889957,338.4912,0.2223763,62.78849,0.226517611
17630,7/12/2020 6:30,2020-07-12T060000_YKD-WHRC-Natali.ghg,-4.410037,-1.022933,284.101,101085.27,2.73607544,333.1857,0.217736,205.8787,0.2477114
17631,7/12/2020 7:00,2020-07-12T063000_YKD-WHRC-Natali.ghg,-2.85248,-1.560874,284.6035,101085.27,2.84003692,342.1291,0.2488795,475.3911,0.367924431
17632,7/12/2020 7:30,2020-07-12T070000_YKD-WHRC-Natali.ghg,12.08869,-2.808958,285.3285,101096.37,2.95718128,332.351,0.2454217,-107.5882,0.27265584
17633,7/12/2020 8:00,2020-07-12T073000_YKD-WHRC-Natali.ghg,20.91095,-2.585623,285.7309,101096.37,2.71631668,326.6393,0.2431436,-60.48635,0.278445119
17634,7/12/2020 8:30,2020-07-12T080000_YKD-WHRC-Natali.ghg,32.72849,-3.661639,286.0853,101339.54,3.19777271,337.9727,0.2868564,-63.57466,0.404523961
17635,7/12/2020 9:00,2020-07-12T083000_YKD-WHRC-Natali.ghg,50.24073,-23.09463,286.3887,101033.51,2.98200186,335.88,0.2748337,-36.3466,0.398397441
17636,7/12/2020 9:30,2020-07-12T090000_YKD-WHRC-Natali.ghg,96.88822,-8.456958,287.2468,101033.51,2.56022235,332.6513,0.2617588,-16.28606,0.400392637
17637,7/12/2020 10:00,2020-07-12T093000_YKD-WHRC-Natali.ghg,120.9981,-7.607216,288.4648,101006.41,2.5516021,323.0496,0.2882038,-17.40422,0.529942433
17638,7/12/2020 10:30,2020-07-12T100000_YKD-WHRC-Natali.ghg,144.6959,-7.527152,290.4231,100405.52,2.29301759,324.2224,0.2627107,-10.97482,0.692619219
17639,7/12/2020 11:00,2020-07-12T103000_YKD-WHRC-Natali.ghg,133.4515,-8.136002,290.6292,100405.88,2.36142863,304.1543,0.3238039,-22.27985,0.807396104
17640,7/12/2020 11:30,2020-07-12T110000_YKD-WHRC-Natali.ghg,46.67415,-3.801928,290.4053,100402.74,1.99980277,324.6456,0.1908506,-13.04065,2.622151967
17641,7/12/2020 12:00,2020-07-12T113000_YKD-WHRC-Natali.ghg,48.02964,-5.023662,291.0748,100402.94,2.84998159,350.1503,0.2442973,-26.57439,0.501574726
17642,7/12/2020 12:30,2020-07-12T120000_YKD-WHRC-Natali.ghg,75.14037,-6.542475,291.7793,100402.45,2.32327247,350.1026,0.2619037,-20.92979,1.223915797
17643,7/12/2020 13:00,2020-07-12T123000_YKD-WHRC-Natali.ghg,86.76423,-6.018114,292.6968,100400.31,2.39483306,8.656011,0.2470596,-15.21573,1.017341431
17644,7/12/2020 13:30,2020-07-12T130000_YKD-WHRC-Natali.ghg,101.2373,-6.331283,293.0495,100404.91,2.06744761,359.9563,0.2264832,-10.04627,0.902341095
17645,7/12/2020 14:00,2020-07-12T133000_YKD-WHRC-Natali.ghg,140.6288,-6.260765,294.3407,100396.76,1.75905657,338.6202,0.1812277,-3.705685,0.69546505
17646,7/12/2020 14:30,2020-07-12T140000_YKD-WHRC-Natali.ghg,68.78095,-4.464187,293.4915,100398.68,1.86322583,344.2975,0.1844323,-7.984878,0.48251662
17647,7/12/2020 15:00,2020-07-12T143000_YKD-WHRC-Natali.ghg,166.61,-7.133158,294.7645,100390.78,1.14875226,333.7466,0.2439365,-7.62726,1.224173832
17648,7/12/2020 15:30,2020-07-12T150000_YKD-WHRC-Natali.ghg,125.0829,-5.218338,294.5096,100388.2,1.71177586,296.1854,0.235139,-9.098844,0.541535009
17649,7/12/2020 16:00,2020-07-12T153000_YKD-WHRC-Natali.ghg,26.50138,-2.518466,293.4565,100391.03,1.69144287,313.0695,0.213474,-32.13203,0.497317846
17650,7/12/2020 16:30,2020-07-12T160000_YKD-WHRC-Natali.ghg,81.50662,-4.413363,294.4216,100389.86,1.59608675,290.0285,0.2099832,-9.943926,0.549849045
17651,7/12/2020 17:00,2020-07-12T163000_YKD-WHRC-Natali.ghg,151.1152,-5.798102,295.3436,100383.22,1.68089518,310.9029,0.21831,-6.027002,1.052402443
17652,7/12/2020 17:30,2020-07-12T170000_YKD-WHRC-Natali.ghg,175.7984,-4.372047,296.1678,100378.91,1.59639004,324.3406,0.2456646,-7.382711,1.592790385
17653,7/12/2020 18:00,2020-07-12T173000_YKD-WHRC-Natali.ghg,182.2518,-4.486254,296.4136,100373.45,1.39062044,322.0338,0.217349,-4.931561,1.581658004
17654,7/12/2020 18:30,2020-07-12T180000_YKD-WHRC-Natali.ghg,35.74294,-2.162151,295.0854,100367.72,2.0472448,0.6138121,0.1919476,-17.31577,0.674710655
17655,7/12/2020 19:00,2020-07-12T183000_YKD-WHRC-Natali.ghg,72.64076,-2.392474,295.6023,100369.87,1.14074219,27.60281,0.2092068,-11.03227,0.737703365
17656,7/12/2020 19:30,2020-07-12T190000_YKD-WHRC-Natali.ghg,64.76894,-2.645327,295.9803,100365.47,1.27118406,348.5503,0.1550354,-5.03503,1.349801486
17657,7/12/2020 20:00,2020-07-12T193000_YKD-WHRC-Natali.ghg,75.64444,-2.535329,296.2986,100370.04,2.53410379,345.542,0.2386291,-15.71999,0.582083253
17658,7/12/2020 20:30,2020-07-12T200000_YKD-WHRC-Natali.ghg,-6.600317,-0.6454869,294.6269,100385.18,1.56353599,349.8605,0.1966376,100.8228,0.227815429
17659,7/12/2020 21:00,2020-07-12T203000_YKD-WHRC-Natali.ghg,-4.451472,0.6855232,293.4255,100395.78,1.13876311,313.7818,0.1489915,65.04381,0.235529985
17660,7/12/2020 21:30,2020-07-12T210000_YKD-WHRC-Natali.ghg,9.160368,0.1935317,292.7933,100405.95,3.09479759,321.2169,0.3130737,-293.307,0.371601054
17661,7/12/2020 22:00,2020-07-12T213000_YKD-WHRC-Natali.ghg,-17.30701,0.8763044,290.7828,100425.84,2.42357008,320.6867,0.224997,57.63523,0.148634431
17662,7/12/2020 22:30,2020-07-12T220000_YKD-WHRC-Natali.ghg,-14.90884,0.9073483,288.8395,100446.68,1.49336804,306.7862,0.1623726,25.1472,0.084504032
17663,7/12/2020 23:00,2020-07-12T223000_YKD-WHRC-Natali.ghg,-20.09153,1.97745,287.8457,100473.11,1.74467604,329.8042,0.1226593,8.045411,0.069016931
17664,7/12/2020 23:30,2020-07-12T230000_YKD-WHRC-Natali.ghg,-12.60005,1.896825,287.5974,101214.8,1.73464726,337.7719,0.08439647,4.202187,0.025925031
